city,timestamp,temperature_c,humidity_percent,heatwave_alert,rainfall_mm,current_load_percent,peak_load_percent,historical_failure_rate_percent,transformer_age_years,pressure_variance_percent,pipeline_age_years,recent_repairs_last_30_days,congestion_index,signal_failure_reports_last_7_days,population_density_per_km2,scenario_type,overall_failure_72h_label,power_failure_72h_label,transformer_overload_72h_label,water_failure_72h_label,traffic_failure_72h_label
Crestfield,2025-01-07T10:00:00+00:00,45.6,51.3,True,52.5,92.4,99.0,22.2,30.0,31.6,14.1,4,92.9,16,12998.9,compound,1,1,1,0,1
Lakehurst,2025-01-07T11:00:00+00:00,31.9,50.9,False,4.9,63.1,73.2,10.2,15.9,29.8,20.6,3,61.5,1,10100.0,baseline,0,0,1,0,0
Bayhaven,2025-01-07T12:00:00+00:00,44.2,41.9,True,6.8,93.5,96.7,12.5,9.2,27.4,33.9,0,83.5,1,14500.0,heatwave,1,1,1,0,0
Ironwood,2025-01-07T13:00:00+00:00,32.0,36.1,False,12.4,69.9,73.0,11.5,21.0,23.4,19.0,3,80.8,14,13389.2,high_density,1,0,1,0,1
Stonegate,2025-01-07T14:00:00+00:00,34.9,67.6,False,48.6,74.7,77.7,21.5,26.4,47.7,34.7,6,46.2,6,11700.0,failure_event,1,1,1,1,1
Hillford,2025-01-07T15:00:00+00:00,43.1,45.0,True,61.3,90.5,96.0,17.1,29.3,38.5,24.2,10,95.7,11,17682.4,compound,1,1,1,1,1
Metrovale,2025-01-07T16:00:00+00:00,23.2,48.8,False,12.7,78.5,74.7,13.3,19.4,14.9,32.6,2,76.7,6,11200.0,baseline,0,1,0,0,1
Riverton,2025-01-07T17:00:00+00:00,40.0,54.8,True,7.7,89.3,99.5,12.3,11.1,13.8,15.3,4,70.1,3,8400.0,heatwave,1,1,1,0,0
Northbridge,2025-01-07T18:00:00+00:00,33.6,60.8,False,11.2,74.5,72.4,6.7,9.7,23.7,13.0,2,89.4,11,16495.0,high_density,1,1,0,0,1
Sunport,2025-01-07T19:00:00+00:00,31.5,73.3,False,42.0,62.1,70.1,21.8,29.4,38.2,12.2,6,64.7,3,13200.0,failure_event,0,0,1,1,1
Crestfield,2025-01-07T20:00:00+00:00,38.1,34.7,True,57.2,91.5,98.3,23.9,37.3,47.9,10.5,10,86.0,9,12212.3,compound,1,1,1,1,1
Lakehurst,2025-01-07T21:00:00+00:00,33.2,46.4,False,11.8,69.1,86.9,8.8,21.0,17.4,14.1,3,53.0,1,10100.0,baseline,1,1,1,0,1
Bayhaven,2025-01-07T22:00:00+00:00,44.8,27.6,True,3.7,94.8,99.4,9.0,13.9,24.3,16.4,1,74.6,6,14500.0,heatwave,1,1,1,0,1
Ironwood,2025-01-07T23:00:00+00:00,29.2,57.9,False,15.3,79.6,89.0,5.3,16.5,33.7,14.9,2,78.8,7,17504.4,high_density,1,0,0,0,1
Stonegate,2025-01-08T00:00:00+00:00,28.1,73.6,False,85.6,65.9,81.4,15.5,35.4,48.5,19.4,5,68.8,5,11700.0,failure_event,1,1,1,1,1
Hillford,2025-01-08T01:00:00+00:00,43.1,34.2,True,82.8,89.0,94.9,25.9,26.9,48.9,18.2,10,83.6,15,15428.3,compound,1,1,1,1,0
Metrovale,2025-01-08T02:00:00+00:00,31.3,43.1,False,3.1,73.4,78.0,10.2,21.4,12.1,24.9,3,63.6,5,11200.0,baseline,1,1,0,0,1
Riverton,2025-01-08T03:00:00+00:00,44.8,28.3,True,6.9,89.0,99.8,14.9,12.4,14.3,31.1,3,73.9,1,8400.0,heatwave,1,1,1,0,1
Northbridge,2025-01-08T04:00:00+00:00,33.4,64.9,False,17.4,56.1,79.8,14.0,19.6,33.1,18.4,4,91.3,13,16348.1,high_density,0,0,0,0,1
Sunport,2025-01-08T05:00:00+00:00,26.3,53.3,False,37.8,62.1,85.0,23.1,27.2,45.4,12.9,6,69.5,5,13200.0,failure_event,0,0,1,1,1
Crestfield,2025-01-08T06:00:00+00:00,40.0,30.6,True,70.5,96.2,96.4,23.2,36.2,32.8,19.6,5,89.7,10,17517.3,compound,1,1,0,1,1
Lakehurst,2025-01-08T07:00:00+00:00,31.6,71.6,False,2.3,66.0,85.1,12.2,11.8,15.9,12.8,4,47.6,4,10100.0,baseline,0,1,1,0,0
Bayhaven,2025-01-08T08:00:00+00:00,38.3,44.1,True,2.2,90.6,98.1,14.8,19.1,20.0,16.1,4,72.5,3,14500.0,heatwave,1,1,1,0,1
Ironwood,2025-01-08T09:00:00+00:00,25.6,56.6,False,1.8,67.8,73.1,13.8,17.3,44.0,29.4,3,78.3,12,15008.4,high_density,1,1,1,1,1
Stonegate,2025-01-08T10:00:00+00:00,34.2,56.5,False,51.7,74.3,88.9,22.7,27.9,46.6,32.5,10,73.7,2,11700.0,failure_event,1,0,1,1,0
Hillford,2025-01-08T11:00:00+00:00,41.1,44.1,True,86.2,92.4,92.9,25.6,25.6,30.7,30.2,10,82.2,12,16359.6,compound,1,1,1,1,1
Metrovale,2025-01-08T12:00:00+00:00,34.8,63.2,False,14.1,71.5,81.2,5.4,10.8,15.2,16.9,2,67.4,3,11200.0,baseline,0,1,1,0,0
Riverton,2025-01-08T13:00:00+00:00,40.9,44.5,True,5.0,86.4,97.2,4.9,12.1,16.2,25.2,2,80.0,3,8400.0,heatwave,1,1,1,1,1
Northbridge,2025-01-08T14:00:00+00:00,23.0,57.3,False,8.1,76.3,87.5,12.0,21.9,35.0,10.7,2,90.3,11,15129.2,high_density,0,0,0,0,0
Sunport,2025-01-08T15:00:00+00:00,29.0,68.7,False,46.5,74.6,81.1,16.8,39.4,49.2,28.9,5,73.3,2,13200.0,failure_event,0,1,1,1,1
Crestfield,2025-01-08T16:00:00+00:00,39.7,47.2,True,83.6,92.1,94.6,16.5,26.1,44.3,33.0,7,82.0,15,13399.6,compound,1,1,1,1,1
Lakehurst,2025-01-08T17:00:00+00:00,34.1,51.5,False,9.0,64.0,82.7,10.3,13.7,11.8,27.1,4,63.0,3,10100.0,baseline,1,1,0,0,0
Bayhaven,2025-01-08T18:00:00+00:00,38.6,56.1,True,7.9,86.4,96.9,14.3,18.9,28.5,34.0,0,84.2,3,14500.0,heatwave,1,1,1,0,1
Ironwood,2025-01-08T19:00:00+00:00,33.7,68.4,False,14.5,78.5,75.1,11.1,23.2,37.1,26.1,2,89.0,14,17122.2,high_density,1,0,1,0,1
Stonegate,2025-01-08T20:00:00+00:00,26.5,48.9,False,79.4,73.8,88.6,22.7,38.2,31.4,17.6,10,54.8,6,11700.0,failure_event,1,1,1,1,1
Hillford,2025-01-08T21:00:00+00:00,43.0,27.5,True,63.8,90.3,96.0,25.5,37.6,37.5,33.3,10,81.2,11,14961.9,compound,1,1,1,1,1
Metrovale,2025-01-08T22:00:00+00:00,22.1,56.8,False,7.7,65.4,78.3,8.8,14.8,26.3,25.3,0,45.6,4,11200.0,baseline,0,1,1,1,0
Riverton,2025-01-08T23:00:00+00:00,44.0,53.3,True,3.5,91.7,95.4,10.2,11.5,23.8,24.9,4,75.8,5,8400.0,heatwave,0,1,1,0,1
Northbridge,2025-01-09T00:00:00+00:00,30.3,74.9,False,12.9,62.5,85.6,11.1,20.4,23.0,10.1,2,82.4,16,16053.9,high_density,1,1,1,1,0
Sunport,2025-01-09T01:00:00+00:00,24.6,45.4,False,69.5,80.4,80.8,25.9,21.4,43.4,23.6,5,56.2,6,13200.0,failure_event,1,0,1,1,1
Crestfield,2025-01-09T02:00:00+00:00,45.5,28.2,True,65.2,95.9,97.6,17.3,39.5,50.7,30.2,10,90.1,11,13613.6,compound,1,1,1,1,1
Lakehurst,2025-01-09T03:00:00+00:00,31.3,51.9,False,17.4,64.1,74.1,11.7,18.5,15.9,31.1,1,63.6,1,10100.0,baseline,0,1,1,0,1
Bayhaven,2025-01-09T04:00:00+00:00,44.8,49.2,True,1.5,93.0,96.1,13.0,16.9,27.8,27.6,1,87.8,2,14500.0,heatwave,0,1,1,0,1
Ironwood,2025-01-09T05:00:00+00:00,28.3,65.8,False,7.6,63.2,77.4,13.9,22.1,36.2,19.8,4,87.4,13,11566.7,high_density,0,1,1,1,1
Stonegate,2025-01-09T06:00:00+00:00,25.3,36.6,False,62.4,80.1,77.4,27.7,25.3,48.5,31.9,10,59.3,3,11700.0,failure_event,1,1,1,1,0
Hillford,2025-01-09T07:00:00+00:00,40.7,49.3,True,36.7,94.0,95.6,22.6,24.3,47.6,25.8,7,91.2,13,16303.4,compound,1,1,1,0,1
Metrovale,2025-01-09T08:00:00+00:00,33.0,53.9,False,6.1,60.4,83.1,9.7,15.8,27.8,24.3,1,75.7,6,11200.0,baseline,1,1,1,1,1
Riverton,2025-01-09T09:00:00+00:00,41.9,53.0,True,5.3,95.9,92.0,6.6,15.9,25.5,21.4,4,84.4,3,8400.0,heatwave,1,1,1,0,1
Northbridge,2025-01-09T10:00:00+00:00,20.2,50.6,False,0.8,81.9,73.4,9.7,13.1,30.2,31.1,2,84.1,9,14840.3,high_density,1,0,1,0,1
Sunport,2025-01-09T11:00:00+00:00,23.6,44.1,False,46.8,74.0,88.9,19.6,21.6,59.2,17.9,5,51.3,1,13200.0,failure_event,1,1,1,1,1
Crestfield,2025-01-09T12:00:00+00:00,38.9,59.7,True,89.9,96.3,97.5,22.6,35.6,31.7,17.9,9,91.8,7,13163.4,compound,1,1,0,1,1
Lakehurst,2025-01-09T13:00:00+00:00,22.4,40.2,False,19.6,80.1,74.8,12.6,22.8,24.0,17.5,2,58.7,4,10100.0,baseline,1,0,1,0,1
Bayhaven,2025-01-09T14:00:00+00:00,39.8,54.2,True,0.4,86.2,92.0,13.5,14.3,26.2,21.1,4,73.3,1,14500.0,heatwave,1,1,1,0,1
Ironwood,2025-01-09T15:00:00+00:00,29.4,40.9,False,8.9,72.2,78.4,11.2,14.0,43.0,10.6,0,94.1,11,16919.2,high_density,0,1,1,0,1
Stonegate,2025-01-09T16:00:00+00:00,31.1,56.0,False,60.2,61.6,86.0,15.3,21.5,49.5,26.1,7,57.1,5,11700.0,failure_event,1,1,1,1,1
Hillford,2025-01-09T17:00:00+00:00,38.9,51.4,True,74.1,88.3,93.0,27.7,21.7,39.5,28.9,6,94.5,13,17133.5,compound,1,1,1,1,1
Metrovale,2025-01-09T18:00:00+00:00,25.6,56.6,False,11.2,73.3,72.7,10.8,18.9,20.2,14.9,2,74.1,6,11200.0,baseline,0,1,1,1,1
Riverton,2025-01-09T19:00:00+00:00,40.7,48.2,True,5.1,96.1,93.1,12.7,19.0,12.3,23.0,1,86.9,3,8400.0,heatwave,1,1,1,0,1
Northbridge,2025-01-09T20:00:00+00:00,31.8,56.6,False,7.4,63.7,75.5,9.5,22.3,26.2,24.1,1,95.7,14,11636.7,high_density,0,0,1,0,1
Sunport,2025-01-09T21:00:00+00:00,31.4,39.4,False,55.7,67.7,70.1,20.3,25.0,34.1,31.0,4,65.4,2,13200.0,failure_event,0,1,1,1,1
Crestfield,2025-01-09T22:00:00+00:00,44.7,33.5,True,64.3,87.9,97.1,23.7,29.4,48.7,20.3,8,92.1,13,17638.2,compound,1,1,1,0,1
Lakehurst,2025-01-09T23:00:00+00:00,22.8,51.0,False,14.4,77.6,82.9,10.6,19.7,15.3,30.3,2,67.5,5,10100.0,baseline,1,1,1,0,1
Bayhaven,2025-01-10T00:00:00+00:00,39.6,25.6,True,1.2,90.1,96.8,7.6,8.7,10.4,14.3,4,76.1,6,14500.0,heatwave,1,1,1,0,0
Ironwood,2025-01-10T01:00:00+00:00,27.0,49.5,False,10.7,71.1,82.7,6.8,15.0,39.7,26.6,3,89.3,6,17428.7,high_density,0,0,0,1,1
Stonegate,2025-01-10T02:00:00+00:00,30.5,67.6,False,70.7,61.7,88.6,23.1,27.5,38.4,22.7,10,61.8,2,11700.0,failure_event,1,1,1,1,1
Hillford,2025-01-10T03:00:00+00:00,42.1,45.0,True,66.9,88.6,99.1,18.1,37.2,55.1,34.2,7,86.4,16,12172.8,compound,1,1,1,1,1
Metrovale,2025-01-10T04:00:00+00:00,33.9,58.5,False,2.6,77.2,70.7,4.4,10.0,27.6,34.1,1,72.0,2,11200.0,baseline,1,1,0,0,1
Riverton,2025-01-10T05:00:00+00:00,38.4,33.9,True,7.6,91.9,98.2,6.0,20.4,13.0,18.2,3,85.9,3,8400.0,heatwave,0,1,1,0,1
Northbridge,2025-01-10T06:00:00+00:00,28.6,49.9,False,1.0,73.2,78.2,5.7,11.0,26.5,28.6,2,94.1,11,16117.2,high_density,1,1,0,0,0
Sunport,2025-01-10T07:00:00+00:00,26.4,52.0,False,44.3,70.0,70.1,22.6,26.7,31.3,13.8,7,58.1,2,13200.0,failure_event,1,1,1,1,0
Crestfield,2025-01-10T08:00:00+00:00,39.0,26.5,True,52.9,92.6,95.5,25.4,29.8,50.1,28.9,6,90.6,8,15290.7,compound,1,1,1,1,1
Lakehurst,2025-01-10T09:00:00+00:00,33.7,67.7,False,0.0,81.6,86.0,5.7,14.6,24.5,18.5,4,45.9,6,10100.0,baseline,0,1,0,0,0
Bayhaven,2025-01-10T10:00:00+00:00,41.8,59.0,True,1.1,89.2,94.3,9.4,21.8,28.4,12.9,0,78.3,2,14500.0,heatwave,0,1,1,0,0
Ironwood,2025-01-10T11:00:00+00:00,25.6,36.4,False,0.9,69.5,75.2,14.1,23.3,36.6,26.7,2,80.4,11,13406.1,high_density,1,1,1,1,1
Stonegate,2025-01-10T12:00:00+00:00,30.2,71.9,False,75.7,81.7,85.9,25.6,35.0,57.2,26.8,7,66.7,4,11700.0,failure_event,1,1,1,1,1
Hillford,2025-01-10T13:00:00+00:00,44.2,55.5,True,71.4,94.0,93.9,19.4,22.5,59.9,11.0,4,90.7,16,11750.2,compound,1,1,1,1,1
Metrovale,2025-01-10T14:00:00+00:00,24.5,48.3,False,13.8,63.4,87.5,11.5,9.8,29.7,24.4,2,65.3,5,11200.0,baseline,1,0,1,1,1
Riverton,2025-01-10T15:00:00+00:00,41.5,49.8,True,1.6,88.9,94.8,7.3,22.1,21.5,29.6,2,80.7,5,8400.0,heatwave,1,1,1,0,0
Northbridge,2025-01-10T16:00:00+00:00,21.6,50.5,False,3.3,81.4,77.8,9.7,9.0,42.1,16.1,3,83.4,12,15030.3,high_density,1,0,0,1,1
Sunport,2025-01-10T17:00:00+00:00,32.8,51.7,False,54.8,58.8,89.7,19.4,36.0,53.4,27.5,8,72.8,4,13200.0,failure_event,1,1,1,1,1
Crestfield,2025-01-10T18:00:00+00:00,44.5,43.5,True,48.2,88.1,98.7,20.7,28.2,52.6,19.5,5,79.3,7,11677.6,compound,1,1,1,1,1
Lakehurst,2025-01-10T19:00:00+00:00,27.0,52.5,False,5.6,64.5,89.0,13.8,17.5,11.3,23.0,2,72.2,6,10100.0,baseline,0,1,1,0,1
Bayhaven,2025-01-10T20:00:00+00:00,45.4,36.2,True,5.6,94.2,95.5,7.6,8.8,11.9,13.6,3,80.4,1,14500.0,heatwave,1,1,1,0,1
Ironwood,2025-01-10T21:00:00+00:00,26.5,57.2,False,10.5,69.1,87.5,4.3,13.1,41.3,21.7,3,94.1,8,11810.5,high_density,0,1,0,1,1
Stonegate,2025-01-10T22:00:00+00:00,30.6,47.3,False,66.3,80.4,85.0,18.7,27.9,51.3,14.7,10,53.9,1,11700.0,failure_event,1,1,1,0,0
Hillford,2025-01-10T23:00:00+00:00,43.4,52.4,True,60.7,93.1,97.6,19.9,24.5,50.2,28.6,5,87.7,7,14114.1,compound,1,1,1,1,1
Metrovale,2025-01-11T00:00:00+00:00,33.5,43.2,False,15.9,65.5,74.6,8.8,13.2,19.2,21.1,2,54.5,4,11200.0,baseline,0,0,0,0,1
Riverton,2025-01-11T01:00:00+00:00,38.1,45.2,True,3.2,92.1,98.0,10.7,17.2,26.5,19.9,2,82.1,1,8400.0,heatwave,1,1,1,0,1
Northbridge,2025-01-11T02:00:00+00:00,22.5,62.0,False,10.3,75.1,78.7,10.6,9.1,36.7,28.5,2,84.8,9,17481.9,high_density,0,0,1,1,1
Sunport,2025-01-11T03:00:00+00:00,32.1,59.8,False,84.2,81.6,77.7,23.5,27.2,45.8,15.4,5,77.5,1,13200.0,failure_event,1,1,1,1,1
Crestfield,2025-01-11T04:00:00+00:00,43.7,38.1,True,84.4,91.9,92.1,16.0,37.7,30.6,33.0,7,85.6,7,12342.4,compound,1,1,1,1,1
Lakehurst,2025-01-11T05:00:00+00:00,24.8,71.4,False,8.1,55.1,83.6,8.6,23.1,17.8,20.9,1,57.0,3,10100.0,baseline,0,1,1,0,1
Bayhaven,2025-01-11T06:00:00+00:00,43.0,25.4,True,4.1,86.0,97.6,10.3,13.4,28.5,34.0,1,87.0,4,14500.0,heatwave,1,1,1,0,1
Ironwood,2025-01-11T07:00:00+00:00,27.6,35.6,False,5.1,69.7,86.1,11.0,19.1,36.7,23.2,4,87.6,8,17828.4,high_density,1,1,1,1,1
Stonegate,2025-01-11T08:00:00+00:00,32.3,46.3,False,66.9,62.7,82.9,19.8,35.4,37.2,33.2,10,77.1,3,11700.0,failure_event,1,1,1,1,1
Hillford,2025-01-11T09:00:00+00:00,46.0,58.7,True,76.6,95.6,92.6,16.4,35.9,41.7,12.0,4,79.1,9,14738.9,compound,1,1,1,0,1
Metrovale,2025-01-11T10:00:00+00:00,31.0,39.8,False,5.2,67.9,88.3,7.3,9.7,11.9,32.6,0,53.6,3,11200.0,baseline,1,1,1,0,1
Riverton,2025-01-11T11:00:00+00:00,41.5,35.7,True,4.6,95.0,99.8,5.0,19.7,10.1,32.0,1,78.5,1,8400.0,heatwave,0,1,1,0,0
Northbridge,2025-01-11T12:00:00+00:00,27.2,55.1,False,12.7,58.0,88.4,7.1,19.1,38.6,26.9,2,92.6,13,14720.3,high_density,1,1,1,0,1
Sunport,2025-01-11T13:00:00+00:00,34.5,58.3,False,69.2,57.2,71.1,15.7,28.0,34.7,30.4,7,53.9,3,13200.0,failure_event,1,1,0,1,1
Crestfield,2025-01-11T14:00:00+00:00,40.0,56.4,True,51.6,93.5,96.5,21.7,34.2,45.3,11.0,10,90.7,12,13860.7,compound,0,1,1,1,1
Lakehurst,2025-01-11T15:00:00+00:00,32.7,67.9,False,11.9,76.1,82.7,7.5,13.7,14.9,34.2,3,51.3,4,10100.0,baseline,1,1,1,0,0
Bayhaven,2025-01-11T16:00:00+00:00,45.2,42.1,True,0.1,89.2,92.2,8.4,14.1,20.8,25.8,0,74.7,4,14500.0,heatwave,1,1,1,0,0
Ironwood,2025-01-11T17:00:00+00:00,31.6,39.0,False,12.5,65.3,85.5,4.2,18.2,39.7,10.6,3,94.6,10,15803.6,high_density,0,1,1,0,1
Stonegate,2025-01-11T18:00:00+00:00,31.0,67.0,False,79.0,74.1,79.9,15.3,23.3,32.9,19.3,10,59.4,3,11700.0,failure_event,1,1,1,1,1
Hillford,2025-01-11T19:00:00+00:00,45.8,45.4,True,83.7,91.2,99.8,21.1,36.5,55.7,18.0,5,94.1,15,11785.9,compound,1,1,1,1,1
Metrovale,2025-01-11T20:00:00+00:00,30.3,36.2,False,15.5,72.0,79.3,9.2,16.9,25.9,20.3,2,45.1,3,11200.0,baseline,1,0,0,1,0
Riverton,2025-01-11T21:00:00+00:00,44.2,42.2,True,5.2,87.1,92.1,11.1,18.1,19.0,13.6,1,70.4,5,8400.0,heatwave,0,1,1,1,0
Northbridge,2025-01-11T22:00:00+00:00,33.3,72.4,False,11.7,66.2,80.0,4.3,18.6,28.7,16.3,4,94.5,9,17935.3,high_density,1,0,1,1,1
Sunport,2025-01-11T23:00:00+00:00,22.2,40.0,False,45.6,68.5,74.0,21.2,32.3,58.6,20.8,8,50.8,1,13200.0,failure_event,1,1,1,1,0
Crestfield,2025-01-12T00:00:00+00:00,38.7,37.1,True,52.1,86.9,99.4,15.1,37.6,42.7,23.2,6,82.9,16,16539.9,compound,1,1,1,1,1
Lakehurst,2025-01-12T01:00:00+00:00,27.6,45.6,False,2.7,78.9,77.6,4.5,17.3,12.4,33.0,4,45.2,4,10100.0,baseline,0,1,1,1,1
Bayhaven,2025-01-12T02:00:00+00:00,40.0,38.5,True,7.0,88.7,97.4,11.4,16.3,29.5,32.5,0,82.6,1,14500.0,heatwave,1,1,1,0,0
Ironwood,2025-01-12T03:00:00+00:00,30.5,36.3,False,11.1,65.1,71.5,11.5,23.2,38.0,25.7,4,86.6,12,16880.4,high_density,0,1,1,0,1
Stonegate,2025-01-12T04:00:00+00:00,25.2,47.3,False,37.6,67.3,80.0,22.6,29.7,39.3,27.9,6,63.4,6,11700.0,failure_event,1,1,1,1,0
Hillford,2025-01-12T05:00:00+00:00,43.5,32.2,True,87.4,91.2,92.9,15.3,37.2,35.6,19.9,7,88.9,6,14962.9,compound,1,1,1,1,1
Metrovale,2025-01-12T06:00:00+00:00,32.2,44.1,False,13.1,80.0,71.3,10.9,11.9,19.8,13.5,4,59.6,1,11200.0,baseline,0,0,1,0,0
Riverton,2025-01-12T07:00:00+00:00,39.1,47.1,True,7.4,93.6,92.5,13.4,9.0,15.3,32.9,4,86.0,2,8400.0,heatwave,1,1,1,0,1
Northbridge,2025-01-12T08:00:00+00:00,21.5,48.9,False,11.7,73.3,82.6,11.6,16.7,25.2,33.6,4,80.2,12,13622.0,high_density,1,1,1,1,1
Sunport,2025-01-12T09:00:00+00:00,31.7,39.4,False,40.1,62.7,79.4,16.3,38.4,56.6,25.4,9,70.3,1,13200.0,failure_event,1,1,1,1,1
Crestfield,2025-01-12T10:00:00+00:00,43.9,53.7,True,40.9,89.0,97.1,26.5,30.7,52.4,13.6,5,79.1,8,17807.7,compound,1,0,1,0,0
Lakehurst,2025-01-12T11:00:00+00:00,34.5,61.6,False,11.9,62.1,81.7,5.5,23.9,13.6,22.0,3,55.4,6,10100.0,baseline,1,0,0,0,1
Bayhaven,2025-01-12T12:00:00+00:00,41.3,30.3,True,3.4,94.2,92.2,4.6,14.5,28.3,21.6,1,89.1,1,14500.0,heatwave,1,1,1,0,0
Ironwood,2025-01-12T13:00:00+00:00,26.6,42.9,False,11.8,75.2,79.8,13.5,9.5,30.9,33.5,4,82.8,10,17334.7,high_density,1,0,1,0,1
Stonegate,2025-01-12T14:00:00+00:00,21.7,54.0,False,45.7,73.6,78.8,16.5,27.5,42.1,12.1,4,63.6,6,11700.0,failure_event,0,0,1,1,1
Hillford,2025-01-12T15:00:00+00:00,44.2,38.4,True,84.9,93.4,93.6,21.3,36.5,34.2,10.3,8,80.9,11,17814.1,compound,1,1,1,1,1
Metrovale,2025-01-12T16:00:00+00:00,27.9,73.2,False,2.9,78.7,84.1,5.9,12.2,28.1,24.3,2,71.0,2,11200.0,baseline,1,1,0,0,1
Riverton,2025-01-12T17:00:00+00:00,43.2,38.1,True,7.7,92.4,93.2,6.6,15.3,24.0,31.6,4,86.4,3,8400.0,heatwave,1,0,1,0,1
Northbridge,2025-01-12T18:00:00+00:00,32.7,42.9,False,16.7,71.6,78.8,13.2,22.5,37.3,13.4,1,84.1,13,13114.6,high_density,0,0,0,0,1
Sunport,2025-01-12T19:00:00+00:00,23.4,53.3,False,44.5,76.7,88.8,18.4,38.7,36.4,33.3,5,70.4,4,13200.0,failure_event,1,1,1,0,0
Crestfield,2025-01-12T20:00:00+00:00,40.9,37.5,True,55.7,89.0,92.7,27.1,39.7,31.7,14.2,8,95.3,15,13745.5,compound,1,1,1,1,1
Lakehurst,2025-01-12T21:00:00+00:00,34.9,36.7,False,3.4,77.3,87.0,8.0,22.9,20.3,34.7,2,64.9,4,10100.0,baseline,1,1,1,0,1
Bayhaven,2025-01-12T22:00:00+00:00,42.3,45.0,True,5.4,92.4,98.1,6.4,9.4,24.2,12.9,3,75.7,6,14500.0,heatwave,0,1,1,1,1
Ironwood,2025-01-12T23:00:00+00:00,24.6,53.7,False,11.4,65.3,89.4,4.7,20.9,31.3,16.9,3,92.2,6,13715.1,high_density,0,1,1,0,0
Stonegate,2025-01-13T00:00:00+00:00,25.8,42.4,False,80.5,69.7,84.0,20.4,28.8,53.7,27.5,6,63.6,4,11700.0,failure_event,1,1,1,1,1
Hillford,2025-01-13T01:00:00+00:00,41.5,34.3,True,60.2,93.4,92.3,20.4,31.3,30.9,19.5,5,82.2,15,11881.9,compound,1,1,1,1,1
Metrovale,2025-01-13T02:00:00+00:00,30.0,59.9,False,15.1,59.3,74.5,10.9,21.9,20.5,13.5,4,58.8,6,11200.0,baseline,0,0,0,0,1
Riverton,2025-01-13T03:00:00+00:00,42.7,51.5,True,5.5,88.0,95.2,12.0,18.6,23.1,34.2,4,81.0,5,8400.0,heatwave,1,1,1,0,1
Northbridge,2025-01-13T04:00:00+00:00,32.7,53.6,False,13.2,79.8,84.6,6.6,18.1,31.9,30.5,1,87.3,9,17441.7,high_density,0,1,1,1,1
Sunport,2025-01-13T05:00:00+00:00,20.1,70.1,False,80.1,57.0,70.8,26.8,28.5,54.3,23.6,4,67.8,1,13200.0,failure_event,1,1,1,1,1
Crestfield,2025-01-13T06:00:00+00:00,42.6,39.5,True,68.7,93.1,95.4,22.0,21.2,52.4,31.5,9,92.2,13,11960.6,compound,1,1,1,1,1
Lakehurst,2025-01-13T07:00:00+00:00,29.1,38.2,False,8.9,78.0,81.7,9.3,21.0,19.1,19.4,2,60.7,2,10100.0,baseline,1,1,0,0,1
Bayhaven,2025-01-13T08:00:00+00:00,46.0,43.2,True,2.0,91.1,94.7,8.8,14.5,17.8,26.1,1,88.1,5,14500.0,heatwave,1,1,1,1,1
Ironwood,2025-01-13T09:00:00+00:00,33.9,72.7,False,9.8,71.1,88.6,8.5,22.9,44.9,20.4,3,90.2,6,14084.2,high_density,1,0,1,0,1
Stonegate,2025-01-13T10:00:00+00:00,23.4,69.4,False,73.0,65.2,80.5,20.7,38.4,33.5,10.8,8,67.0,1,11700.0,failure_event,1,1,1,1,1
Hillford,2025-01-13T11:00:00+00:00,38.6,54.7,True,59.0,87.7,96.7,20.5,28.0,42.9,13.8,5,85.0,15,17880.1,compound,1,1,1,1,1
Metrovale,2025-01-13T12:00:00+00:00,29.6,48.4,False,5.7,55.8,73.3,14.1,19.8,30.0,28.4,3,77.1,5,11200.0,baseline,0,0,1,0,0
Riverton,2025-01-13T13:00:00+00:00,44.8,38.1,True,7.2,88.5,97.8,6.7,15.3,11.6,19.2,1,87.6,1,8400.0,heatwave,1,1,1,0,0
Northbridge,2025-01-13T14:00:00+00:00,33.4,63.0,False,17.2,71.3,82.9,6.1,16.5,23.6,26.8,2,80.5,8,11910.4,high_density,1,1,1,0,1
Sunport,2025-01-13T15:00:00+00:00,29.8,64.0,False,60.3,70.5,76.8,16.0,26.1,56.0,30.8,7,76.3,1,13200.0,failure_event,1,1,0,1,1
Crestfield,2025-01-13T16:00:00+00:00,44.1,33.1,True,63.8,89.0,92.3,17.5,36.5,34.0,13.5,4,85.3,7,15880.9,compound,1,1,1,0,1
Lakehurst,2025-01-13T17:00:00+00:00,22.9,65.3,False,6.9,70.6,85.2,6.5,11.7,16.1,12.3,1,46.7,1,10100.0,baseline,1,1,1,1,1
Bayhaven,2025-01-13T18:00:00+00:00,42.9,52.8,True,6.7,90.7,96.0,10.2,16.3,20.5,17.0,2,74.3,3,14500.0,heatwave,1,1,1,0,1
Ironwood,2025-01-13T19:00:00+00:00,32.6,62.5,False,3.3,64.1,82.7,11.4,12.7,39.5,19.3,2,93.6,9,16093.3,high_density,1,0,0,0,1
Stonegate,2025-01-13T20:00:00+00:00,26.1,52.1,False,88.7,79.8,88.5,23.8,34.7,40.8,23.5,6,58.3,3,11700.0,failure_event,1,1,1,1,1
Hillford,2025-01-13T21:00:00+00:00,38.5,55.4,True,54.3,90.1,95.6,22.1,21.9,38.4,16.8,6,80.0,10,13323.8,compound,1,1,1,1,1
